5/13/21,Overhead Press,Incline Bench Press,Tricep Push Down,Cable Crossover,Lateral Raise,Cable Ab Curl,Half Leg Raise
,45x10,45x15,50x15,70x14,20x13,70x12,1x8
,75x10,95x10,60x12,80x10,20x13,70x13,1x8
,95x10,135x5,65x10,70x14,20x14,70x10,1x9
,105x6,145x5,45x10,70x14,,,
,105x3,155x4,,50x12,,,
,65x10,115x10,,,,,
,,,,,,,
5/15/21,Barbell Row,Pull-Up,Dumbbell Row,Wide Grip Pull Down,Barbell Bicep Curl,Machine Preacher Curl,
,95x13,1x10,40x10,80x12,40x15,45x12,
,105x8,1x8,40x15,95x12,40x15,55x13,
,115x8,1x7,50x11,95x15,40x15,65x12,
,125x8,1x5,50x15,95x15,40x15,65x14,
,125x11,1x6,,,,45x10,
,115x10,1x5,,,,,
,,,,,,,
5/17/21,Bench Press,Dumbbell Shoulder Press,Tricep Dip,Machine Chest Fly,Overhead Cable Extension,Full Leg Raise,Lateral Raise
,135x15,40x10,1x10,100x12,60x15,1x10,20x12
,145x12,40x12,1x10,115x13,70x13,1x10,20x10
,155x10,40x12,1x9,115x13,70x11,1x10,
,165x5,40x12,,70x8,70x13,1x10,
,,,,,50x10,,
,,,,,,,
5/18/21,Deadlift,Pull-Up,Cable Row,Barbell Shrug,Dumbbell Curl,Face Pull,Cable Ab Curl
,135x10,1x7,100x12,50x18,25x15,50x15,70x10
,205x5,1x4,105x12,100x15,25x10,50x12,70x10
,205x5,1x3,110x10,100x12,,50x18,70x12
,205x5,1x2,80x10,100x15,,40x10,
,215x5,,,,,,
,215x5,,,,,,
,,,,,,,
5/19/21,Barbell Squat,Dumbbell Split Squat,Romanian Deadlift,Calf Raise,Leg Extension,,
,135x10,20x10,90x12,90x15,95x15,,
,165x5,20x10,90x12,90x15,95x15,,
,185x6,20x12,90x13,90x18,95x15,,
,185x6,,,,,,
,165x7,,,,,,
,145x8,,,,,,
,,,,,,,
5/20/21,Overhead Press,Incline Bench Press,Tricep Push Down,Cable Crossover,Lateral Raise,Half Leg Raise,
,45x10,45x15,50x18,50x15,15x10,1x10,
,75x10,95x10,65x12,60x12,15x10,1x10,
,95x10,135x8,65x13,60x12,15x10,1x10,
,105x7,135x8,57.5x13,60x10,15x10,1x10,
,105x4,135x7,35x12,,,,
,65x12,105x8,,,,,
,,,,,,,
5/21/21,Barbell row,Pull-Up,Dumbbell Row,Wide Grip Pull Down,Barbell Bicep Curl,Face Pull,Machine Preacher Curl
,95x15,1x8,45x12,85x12,40x15,50x12,55x10
,105x12,1x8,45x12,100x12,40x15,50x13,55x10
,115x9,1x8,45x10,105x12,40x15,50x13,55x10
,125x11,1x8,35x12,110x10,,50x15,
,125x11,1x8,,,,,
,115x10,,,,,,
,,,,,,,
5/24/21,Bench Press,Dumbbell Shoulder Press,Tricep Dip,Cable Crossover,Lateral Raise,Single Cable Extension,
,135x17,40x12,1x10,42.5x15,20x12,15x15,
,145x13,40x13,1x10,55x15,20x12,20x10,
,155x10,40x13,1x11,62.5x15,20x12,20x12,
,165x5,40x15,,62.5x14,20x12,15x12,
,135x9,,,,,,
,,,,,,,
5/26/21,Barbell Squat,Dumbbell Split Squat,Romanian Deadlift,Calf Raise,Leg Extension,,
,135x10,20x12,45x14,105x20,100x15,,
,165x8,20x12,45x14,105x25,100x15,,
,185x8,20x13,45x15,105x27,100x20,,
,185x9,,,,,,
,165x8,,,,,,
,145x10,,,,,,
,,,,,,,
5/27/21,Overhead Press,Incline Bench Press,Tricep Push Down,Close Grip Dumbbell Press,Lateral Raise,,
,45x10,45x16,55x16,40x15,20x12,,
,75x12,95x11,65x15,45x13,20x10,,
,95x12,135x10,70x15,45x12,20x10,,
,105x7,135x9,70x13,45x10,,,
,105x5,135x6,50x10,,,,
,70x13,105x10,,,,,
,,,,,,,
5/28/21,Barbell row,Pull-Up,Dumbbell Row,Wide Grip Pull Down,Barbell Bicep Curl,Face Pull,Machine Preacher Curl
,90x15,1x8,45x12,85x15,40x15,50x15,55x10
,100x15,1x8,45x13,100x13,45x13,55x13,55x10
,110x12,1x8,45x14,105x13,45x14,55x13,55x10
,110x13,1x8,35x10,110x12,45x15,55x15,
,110x14,1x8,,,,,
,70x10,1x1,,,,,
,,,,,,,
6/1/21,Bench Press,Machine Shoulder Press,Machine Tricep Extension,Cable Crossover,Lateral Raise,,
,140x17,50x15,80x12,50x15,20x14,,
,150x12,55x14,80x15,60x16,20x13,,
,160x9,60x13,85x15,70x15,20x12,,
,160x1,45x8,65x15,70x15,20x12,,
,170x5,,,50x10,,,
,135x11,,,,,,
,,,,,,,
6/2/21,Deadlift,Pull-up,Cable Row,Barbell Shrug,Cable Bicep Curl,Face Pull,Cable Ab Curl
,135x10,1x10,100x13,100x15,30x15,50x15,65x10
,205x7,1x8,105x12,100x17,50x12,55x12,70x13
,205x7,1x8,110x12,100x17,50x12,55x12,70x13
,205x7,1x8,110x13,100x12,55x10,55x10,70x12
,225x5,1x9,,,,,
,225x5,,,,,,
,,,,,,,
6/3/21,Barbell Squat,Dumbbell Split Squat,Romanian Deadlift,Calf Raise,Leg Extension,,
,135x12,20x14,45x15,125x20,115x15,,
,165x9,20x14,45x15,125x25,115x15,,
,185x10,20x14,45x16,125x21,115x15,,
,185x9,,,,,,
,165x10,,,,,,
,145x11,,,,,,
,,,,,,,
6/4/21,Overhead Press,Incline Bench Press,Tricep Push Down,Cable Crossover,Lateral Raise,Upward Cable Crossover,
,45x15,50x15,65x12,50x20,20x15,50x10,
,80x12,95x12,65x12,70x12,20x15,50x10,
,95x12,135x10,65x12,70x12,20x15,50x12,
,105x7,145x6,45x15,,15x12,,
,105x6,135x8,,,,,
,70x13,105x13,,,,,
,,,,,,,
6/7/21,Bench Press,Dumbbell Shoulder Press,Tricep Dip,Cable Crossover,Dumbbell Tricep Extension,,
,135x15,40x15,1x13,50x15,45x15,,
,155x12,45x12,1x14,60x12,45x12,,
,165x8,45x12,1x13,60x13,45x13,,
,175x5,45x12,,,45x12,,
,135x10,,,,,,
,,,,,,,
6/8/21,Deadlift,Pull-up,Cable Row,Barbell Shrug,Cable Bicep Curl,Face Pull,Cable Ab Curl
,135x11,1x10,100x15,70x20,45x10,50x15,70x10
,185x9,1x8,105x15,90x16,50x11,55x15,70x12
,205x8,1x9,110x15,100x17,40x15,55x12,70x12
,205x8,1x8,120x15,105x15,55x10,55x10,70x12
,230x5,1x10,,,,,
,230x5,,,,,,
,,,,,,,
6/9/21,Barbell Squat,Dumbbell Split Squat,Romanian Deadlift,Calf Raise,Leg Extension,Full Leg Raise,
,135x13,20x15,50x15,145x25,115x15,1x10,
,165x10,20x15,50x15,145x20,115x15,1x10,
,185x11,20x15,50x16,145x21,115x15,1x10,
,190x10,,,,,1x10,
,170x10,,,,,,
,145x11,,,,,,
,,,,,,,
6/10/21,Overhead Press,Dumbbell Incline Bench Press,Tricep Rope Push Down,Close Grip Dumbbell Press,Cable Lateral Raise,cable Crossover,
,45x15,100x16,50x15,45x15,15x15,60x15,
,80x12,120x9,50x15,45x12,15x15,70x12,
,100x9,110x11,55x12,45x12,15x15,70x12,
,110x6,110x9,55x12,45x14,15x15,,
,105x4,90x12,,,,,
,75x12,,,,,,
,,,,,,,
6/11/21,Barbell row,Pull-Up,Dumbbell Row,Wide Grip Pull Down,Barbell Bicep Curl,Face Pull,
,105x15,1x9,45x15,100x14,45x15,50x15,
,110x15,1x8,45x15,105x15,45x17,55x15,
,115x12,1x6,45x15,110x14,50x14,55x16,
,115x13,1x6,45x15,115x13,50x15,55x15,
,115x14,1x6,,,,,
,85x12,1x6,,,,,
,,,,,,,
6/14/21,Bench Press,Machine Shoulder Press,Overhead Cable Extension,Cable Crossover,Half Leg Raise,Cable Ab Curl,
,135x15,55x16,50x12,70x16,1x11,70x10,
,155x12,60x15,50x15,70x14,1x10,70x12,
,165x9,65x14,55x10,70x12,1x10,70x12,
,175x5,70x13,40x10,50x11,1x10,70x12,
,145x10,45x6,,,,,
,,,,,,,
6/16/21,Barbell Squat,Dumbbell Split Squat,Romanian Deadlift,Calf Raise,Leg Extension,Full Leg Raise,
,135x12,25x11,55x13,145x25,120x15,1x10,
,165x11,25x11,55x13,145x20,125x15,1x10,
,190x12,25x12,55x14,145x21,125x15,1x10,
,195x7,,,,,1x10,
,170x8,,,,,,
,145x12,,,,,,
,,,,,,,
6/17/21,Overhead Press,Incline Bench Press,Tricep Push Down,Close Grip Dumbbell Press,Cable Lateral Raise,,
,45x15,45x15,65x13,45x15,15x15,,
,80x12,95x12,65x14,45x15,15x15,,
,100x10,135x12,65x15,45x15,15x15,,
,110x7,145x7,42.5x12,45x15,10x15,,
,110x4,135x9,,,,,
,80x14,105x15,,,,,
,,,,,,,
6/18/21,Barbell row,Pull-Up,Dumbbell Row,Wide Grip Pull Down,Barbell Bicep Curl,Face Pull,
,105x15,1x11,45x15,105x16,45x16,55x15,
,115x15,1x10,45x15,110x15,50x15,57.5x15,
,115x15,1x10,45x16,115x15,55x16,57.5x15,
,115x13,1x8,45x20,120x15,50x15,55x15,
,95x13,1x6,,,,,
,85x12,,,,,,
,,,,,,,
6/21/21,Bench Press,Dumbbell Shoulder Press,Tricep Dip,Cable Crossover,Half Leg Raise,Cable Ab Curl,
,140x15,40x15,1x16,70x15,1x10,70x15,
,155x12,45x15,1x12,80x9,1x10,72.5x12,
,165x9,45x11,1x13,80x9,1x10,70x12,
,175x6,45x12,,60x9,,,
,145x10,,,,,,
,,,,,,,
6/22/21,Deadlift,Pull-up,Cable Row,Barbell Shrug,Cable Bicep Curl,Face Pull,
,135x13,1x13,110x18,100x20,35x15,57.5x15,
,185x10,1x10,120x16,120x16,42.5x16,50x20,
,215x8,1x10,125x13,120x15,50x10,57.5x15,
,215x8,1x10,90x20,100x18,47.5x13,57.5x17,
,235x7,1x8,,,,,
,235x7,,,,,,
,,,,,,,
6/23/21,Barbell Squat,Dumbbell Split Squat,Romanian Deadlift,Calf Raise,Leg Extension,Full Leg Raise,
,135x15,25x11,55x15,165x25,130x16,1x10,
,170x12,25x13,55x15,165x22,130x18,1x10,
,195x8,25x14,55x15,145x21,130x20,1x10,
,205x5,,,,,1x10,
,185x5,,,,,,
,155x8,,,,,,
,,,,,,,
